zip,calls,calls100hh,popul,households,avgHHsize,lessthanHS,bachelors,gini,housingunits,mfi,nohealth,commute,fampov,health
78729,882,7.42,26906,11891,2.26,744,5694,0.4042,12635,77278,4424,23,301,22455
78717,243,2.82,24099,8616,2.8,355,5546,0.3462,9200,104522,2282,26,55,21764
78681,564,3.19,54141,17655,3.06,2035,10708,0.3631,18370,100515,5540,26,664,48367
78666,1438,6.22,66027,23103,2.5,4676,6919,0.4929,25787,56362,15252,22,1626,49955
78665,556,4.6,36291,12075,3,1109,6797,0.3445,12895,95939,4058,25,194,32030
78664,1820,9.43,57806,19304,2.98,4428,7320,0.3954,20711,67643,11721,24,1067,45828
78654,389,5.78,16916,6732,2.5,1860,1878,0.4393,8120,57179,3786,25,561,13068
78644,527,10.18,17542,5178,3.03,2256,1209,0.4391,6044,59770,3604,31,276,12099
78642,168,5.59,9341,3008,3.07,498,1398,0.3929,3480,83569,981,33,199,8263
78640,1161,8.96,43427,12959,3.31,4371,4364,0.3582,13939,66378,9399,34,952,33473
78639,204,7.34,7334,2779,2.6,959,657,0.4827,4563,39757,1592,27,395,5631
78634,610,7.74,24306,7878,3.09,1089,3032,0.3324,8470,75846,3215,27,232,21045
78628,1122,12.04,24603,9320,2.63,1240,5074,0.4028,9719,94700,2662,26,369,21821
78626,583,6.63,27346,8797,2.9,2744,3315,0.3925,9602,67065,5427,24,469,20860
78621,782,10.25,21863,7631,2.84,2963,1416,0.4274,8400,63400,4522,36,832,17183
78616,230,12.78,5645,1799,3.09,883,343,0.4158,2177,57776,1320,41,267,4237
78613,1032,4.42,68426,23336,2.92,1604,14141,0.3759,24364,94511,6895,26,812,61332
78612,397,11.14,10807,3565,3.03,1120,862,0.4482,4031,67766,2777,39,372,8030
78611,278,5.49,13226,5068,2.52,1421,1274,0.3953,6655,56844,2715,24,426,10139
78610,550,6.52,25580,8431,3.03,2040,3801,0.3775,9131,87111,3442,32,512,22105
78602,777,8.61,26278,9025,2.7,2940,2237,0.4225,10267,61786,4614,31,570,19742